source_worksheet_row,source_row_number,calamity_type,calamity_name,mp_name,consent_date,consent_amount,mp_name_key,consent_fiscal_year,consent_calendar_year,mp_state,mp_constituency,mp_allocated_limit,mp_join_status,rule_limit,mp_fy_type_total,potential_limit_breach_flag,state_calamity_eligibility_check
3,1,National Calamity,Flood 2025 in Punjab,Shri Gurjeet Singh Aujla,2025-12-07,7067400,gurjeetsinghaujla,2025-2026,2025,Punjab,AMRITSAR,147000000.0,Matched,10000000,7067400,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
4,2,National Calamity,Flood 2025 in Punjab,GURMEET SINGH MEET HAYER,2025-11-03,7500000,gurmeetsinghmeethayer,2025-2026,2025,Punjab,SANGRUR,147000000.0,Matched,10000000,7500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
5,3,National Calamity,Flood 2025 in Punjab,Shri Jual Oram,2025-10-10,10000000,jualoram,2025-2026,2025,Odisha,SUNDARGARH (ST),173096756.91,Matched,10000000,10000000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
6,4,National Calamity,Andhra Pradesh rainfall and consequent floods - 2024,Krishna Prasad Tenneti,2025-03-26,1000000,krishnaprasadtenneti,2024-2025,2025,Andhra Pradesh,BAPATLA,167796849.11,Matched,10000000,1000000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
7,5,National Calamity,Meppadi landslides 2024,SHAFI PARAMBIL,2025-03-02,2500000,shafiparambil,2024-2025,2025,Kerala,VADAKARA,147000000.0,Matched,10000000,2500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
8,6,State Calamity,Vilangad Landslides 2024,SHAFI PARAMBIL,2025-03-01,2500000,shafiparambil,2024-2025,2025,Kerala,VADAKARA,147000000.0,Matched,2500000,2500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
9,7,National Calamity,Meppadi landslides 2024,DR C N MANJUNATH,2025-02-17,500000,cnmanjunath,2024-2025,2025,Karnataka,BANGALORE RURAL,147000000.0,Matched,10000000,500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
10,8,National Calamity,Meppadi landslides 2024,Andimuthu Raja,2025-02-05,2500000,andimuthuraja,2024-2025,2025,Tamil Nadu,NILGIRIS(SC),147000000.0,Matched,10000000,2500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
11,9,State Calamity,Wayanad landslides 2024,Shri NK Premachandran,2024-12-07,1000000,nkpremachandran,2024-2025,2024,Kerala,KOLLAM,171477994.11,Matched,2500000,2000000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
12,10,State Calamity,Vilangad Landslides 2024,Shri NK Premachandran,2024-12-07,1000000,nkpremachandran,2024-2025,2024,Kerala,KOLLAM,171477994.11,Matched,2500000,2000000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
13,11,State Calamity,Wayanad landslides 2024,K RADHAKRISHNAN,2024-12-04,2500000,kradhakrishnan,2024-2025,2024,Kerala,ALATHUR(SC),147000000.0,Matched,2500000,2500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
14,12,State Calamity,Natural Calamity Affected Area,BIPLAB KUMAR DEB,2024-09-03,2500000,biplabkumardeb,2024-2025,2024,Tripura,TRIPURA WEST,147000000.0,Matched,2500000,2500000,False,"Not assessed: declaration, MP chamber and affected-area jurisdiction unavailable"
