work_id_a,work_id_b,similarity,evidence_strength,exact_description_flag,same_ida_flag,same_mp_flag,same_amount_flag,same_sanction_date_flag,number_token_conflict_flag,generic_description_flag,continuation_or_phase_flag,state,description_a,description_b,sanction_amount_a,sanction_amount_b,sanction_date_a,sanction_date_b
135168,135169,1.0,Moderate,True,True,True,True,True,False,True,False,Chhattisgarh,Highmast solar Street light- Two piece,Highmast  Solar Street light- Two Piece,993000.0,993000.0,2024-09-25,2024-09-25
135168,135170,1.0,Moderate,True,True,True,True,True,False,True,False,Chhattisgarh,Highmast solar Street light- Two piece,Highmast Solar Street light- Two Piece.,993000.0,993000.0,2024-09-25,2024-09-25
135169,135170,1.0,Moderate,True,True,True,True,True,False,True,False,Chhattisgarh,Highmast  Solar Street light- Two Piece,Highmast Solar Street light- Two Piece.,993000.0,993000.0,2024-09-25,2024-09-25
135750,135751,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135750,135752,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135750,135753,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135750,135754,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135750,135755,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135750,135756,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135750,135757,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135750,135758,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135751,135752,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135751,135753,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135751,135754,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135751,135755,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135751,135756,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135751,135757,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135751,135758,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135752,135753,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135752,135754,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135752,135755,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135752,135756,1.0,Moderate,True,True,True,False,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,499500.0,2024-11-19,2024-11-19
135752,135757,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
135752,135758,1.0,Strong,True,True,True,True,True,False,False,False,Odisha,"Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.","Obstetric Delivery Table, Wheel Chair folding, Revolving Stool SS top(MS Frame),Bed Side Screen(4 Panels), Medicine Trolley with 4 Drawer, Stretcher on Trolley, Foot Step( Double Step), Autoclave High Pressure, LED OT Light (Mobile light with battery backup),Suction Apparatus(1/4HP), Packing, Transportation & Installation.",500000.0,500000.0,2024-11-19,2024-11-19
