ida_key,ida_visible_work_count,ida_visible_sanction_total,ida_median_sanction_amount,ida_median_sanction_delay_days,ida_delay_over45_share,ida_early_stage_over180_share,ida_completed_share,ida_high_cost_outlier_share,ida_duplicate_review_share,ida_average_review_priority_score,ida_max_review_priority_score,ida_latest_sanction_date,ida_distinct_work_type_count,ida_work_type_hhi,ida_review_priority_score,ida_review_priority_band,state,ida_district,ida_authority,ida_visible_mp_count
andhrapradesh|allurisitharamarajudistrictcollectorallurisitharamarajuida,8,11155200.0,1394400.0,69.0,1.0,0.625,0.25,1.0,1.0,52.375,58,2025-01-20,1,1.0,54.06,Medium,Andhra Pradesh,Alluri Sitharama Raju,DISTRICT COLLECTOR ALLURI SITHARAMARAJU,1
andhrapradesh|annamayyadistrictcollectorannamayyaida,25,9897432.0,389748.0,49.0,0.72,0.4,0.24,0.08,0.0,12.32,40,2025-02-19,6,0.3056,20.62,Low,Andhra Pradesh,Annamayya,DISTRICT COLLECTOR ANNAMAYYA,2
andhrapradesh|chittoordistrictcollectorchittoorida,93,47689104.0,500000.0,16.0,0.053763440860215055,0.03225806451612903,0.5913978494623656,0.053763440860215055,0.12903225806451613,3.010752688172043,31,2024-11-27,14,0.23852468493467452,11.41,Routine,Andhra Pradesh,CHITTOOR,DISTRICT COLLECTOR CHITTOOR,2
andhrapradesh|drbrambedkarkonaseemadistrictcollectordrbrambedkarkonaseemaida,1,3507771.0,3507771.0,84.0,1.0,0.0,0.0,1.0,0.0,31.0,31,2024-11-27,1,1.0,31.0,Low,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema,DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA,1
andhrapradesh|eastgodavaridistrictcollectoreastgodavari,1,250000.0,250000.0,242.0,1.0,0.0,1.0,0.0,0.0,16.0,16,2025-06-27,1,1.0,16.0,Routine,Andhra Pradesh,EAST GODAVARI,"DISTRICT COLLECTOR, EAST GODAVARI",1
andhrapradesh|elurudistrictcollectoreluruida,52,28058000.0,400000.0,246.0,1.0,0.0,0.019230769230769232,0.057692307692307696,0.9807692307692307,39.82692307692308,41,2026-01-09,3,0.889792899408284,40.18,Medium,Andhra Pradesh,Eluru,DISTRICT COLLECTOR ELURU,1
andhrapradesh|gunturdistrictcollectorgunturida,1,416758.0,416758.0,80.0,1.0,1.0,0.0,0.0,0.0,21.0,21,2024-12-16,1,1.0,21.0,Low,Andhra Pradesh,GUNTUR,DISTRICT COLLECTOR GUNTUR,1
andhrapradesh|kakinadadistrictcollectorkakinadaida,1,2500000.0,2500000.0,30.0,0.0,0.0,0.0,1.0,0.0,25.0,25,2024-10-09,1,1.0,25.0,Low,Andhra Pradesh,Kakinada,DISTRICT COLLECTOR KAKINADA,1
andhrapradesh|krishnadistrictcollectorkrishnaida,12,6133559.0,365197.0,37.0,0.4166666666666667,0.25,0.0,0.16666666666666666,0.25,13.083333333333334,56,2026-02-06,5,0.3888888888888889,25.96,Low,Andhra Pradesh,KRISHNA,DISTRICT COLLECTOR KRISHNA,1
andhrapradesh|kurnooldistrictcollectorkurnoolida,1,2998485.0,2998485.0,211.0,1.0,0.0,0.0,1.0,0.0,41.0,41,2025-04-28,1,1.0,41.0,Medium,Andhra Pradesh,KURNOOL,DISTRICT COLLECTOR KURNOOL,1
andhrapradesh|sripottisriramulunelloredistrictcollectornelloreida,1,1483285.0,1483285.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-12-18,1,1.0,0.0,Routine,Andhra Pradesh,Sri Potti Sriramulu Nellore,DISTRICT COLLECTOR NELLORE,1
andhrapradesh|srisathyasaidistrictcollectorsrisathyasaiida,1,397179.0,397179.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-11-20,1,1.0,0.0,Routine,Andhra Pradesh,Sri Sathya Sai,DISTRICT COLLECTOR SRI SATHYA SAI,1
andhrapradesh|tirupatidistrictcollectortirupatiida,24,12421492.0,465926.5,36.0,0.375,0.125,0.125,0.08333333333333333,0.0,6.208333333333333,25,2025-02-28,8,0.19097222222222224,11.85,Routine,Andhra Pradesh,Tirupati,DISTRICT COLLECTOR TIRUPATI,2
andhrapradesh|ysrkadapadistrictcollectorcuddapahida,52,23925651.0,491150.5,90.5,0.8653846153846154,0.46153846153846156,0.019230769230769232,0.019230769230769232,0.09615384615384616,15.173076923076923,31,2026-08-31,15,0.19970414201183426,19.92,Routine,Andhra Pradesh,Y.S.R. Kadapa,DISTRICT COLLECTOR CUDDAPAH,1
arunachalpradesh|anjawdeputycommisioneranjawida,2,4000000.0,2000000.0,147.5,1.0,0.0,1.0,1.0,0.0,31.0,31,2025-02-12,2,0.5,31.0,Low,Arunachal Pradesh,ANJAW,Deputy Commisioner Anjaw,1
arunachalpradesh|dibangvalleydeputycommisionerdibangvalleyida,1,1200000.0,1200000.0,310.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2025-07-21,1,1.0,16.0,Routine,Arunachal Pradesh,DIBANG VALLEY,Deputy Commisioner Dibang Valley,1
arunachalpradesh|eastsiangdeputycommisionereastsiangida,17,16800000.0,1000000.0,143.0,1.0,0.0,0.9411764705882353,0.17647058823529413,0.0,10.411764705882353,31,2025-03-12,5,0.2318339100346021,16.59,Routine,Arunachal Pradesh,EAST SIANG,Deputy Commisioner East Siang,1
arunachalpradesh|lohitdeputycommissionerlohitida,3,2600000.0,1000000.0,137.0,1.0,0.0,0.3333333333333333,0.0,0.0,6.0,6,2025-02-04,3,0.3333333333333333,6.0,Routine,Arunachal Pradesh,LOHIT,DEPUTY COMMISSIONER LOHIT,1
arunachalpradesh|longdingdeputycommisionerlongdingida,3,3000000.0,1000000.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10-29,2,0.5555555555555556,0.0,Routine,Arunachal Pradesh,LONGDING,Deputy Commisioner Longding,1
arunachalpradesh|lowerdibangvalleydeputycommisionerlowerdibangvalleyida,6,7100000.0,1000000.0,72.0,0.6666666666666666,0.0,0.0,0.3333333333333333,0.0,12.333333333333334,31,2024-12-06,6,0.16666666666666669,17.93,Routine,Arunachal Pradesh,LOWER DIBANG VALLEY,Deputy Commisioner Lower Dibang Valley,1
arunachalpradesh|lowersiangdeputycommisionerlowersiangida,1,800000.0,800000.0,157.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-02-19,1,1.0,6.0,Routine,Arunachal Pradesh,LOWER SIANG,Deputy Commisioner Lower Siang,1
arunachalpradesh|namsaideputycommisionernamsaiida,8,6495613.0,499994.0,70.0,1.0,0.0,0.0,0.125,0.0,9.125,31,2024-11-24,4,0.4375,15.69,Routine,Arunachal Pradesh,NAMSAI,Deputy Commisioner Namsai,1
arunachalpradesh|siangdeputycommisionersiangida,2,2000000.0,1000000.0,31.0,0.5,0.0,1.0,0.0,0.0,3.0,6,2024-11-11,1,1.0,3.9,Routine,Arunachal Pradesh,SIANG,Deputy Commisioner Siang,1
arunachalpradesh|tirapdeputycommissionertirapida,1,1000000.0,1000000.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10-22,1,1.0,0.0,Routine,Arunachal Pradesh,TIRAP,DEPUTY COMMISSIONER TIRAP,1
arunachalpradesh|uppersiangdistrictplanningofficeryingkiong,1,2000000.0,2000000.0,180.0,1.0,0.0,1.0,1.0,0.0,31.0,31,2025-03-13,1,1.0,31.0,Low,Arunachal Pradesh,UPPER SIANG,"DISTRICT PLANNING OFFICER,YINGKIONG",1
assam|barpetadeputycommissionerbarpeta1,5,2250000.0,500000.0,291.0,1.0,1.0,0.0,0.0,0.0,31.0,31,2026-02-11,3,0.3600000000000001,31.0,Low,Assam,BARPETA,DEPUTY COMMISSIONER BARPETA 1,1
assam|bongaigaondeputycommissionerbongaigaonida,2,1000000.0,500000.0,92.0,1.0,0.0,1.0,0.0,0.0,6.0,6,2025-01-01,1,1.0,6.0,Routine,Assam,BONGAIGAON,Deputy Commissioner Bongaigaon,1
assam|charaideodeputycommissionercharaideoida,25,5099156.0,200000.0,210.0,1.0,0.68,0.12,0.0,0.0,26.2,31,2025-08-14,4,0.39840000000000003,27.64,Low,Assam,CHARAIDEO,Deputy Commissioner Charaideo,1
assam|dhemajideputycommissionerdhemajiida,8,10100000.0,1000000.0,223.5,1.0,0.625,0.25,0.125,0.0,26.0,41,2025-08-18,3,0.40625,30.5,Low,Assam,DHEMAJI,DEPUTY COMMISSIONER DHEMAJI,1
assam|dhubrideputycommissionerdhubriida,5,2500000.0,500000.0,47.0,1.0,1.0,0.0,0.0,0.0,21.0,21,2024-11-09,3,0.3600000000000001,21.0,Low,Assam,DHUBRI,DEPUTY COMMISSIONER DHUBRI,1
assam|dimahasaodeputycommissionerdimahasaoida,1,5000000.0,5000000.0,693.0,1.0,0.0,0.0,1.0,0.0,49.0,49,2026-07-31,1,1.0,49.0,Medium,Assam,DIMA HASAO,DEPUTY COMMISSIONER Dima Hasao,1
assam|goalparadeputycommissionergoalparaida,31,17450000.0,350000.0,149.0,1.0,0.7096774193548387,0.0,0.0967741935483871,0.0,21.0,56,2025-09-25,10,0.24661810613943808,31.5,Low,Assam,GOALPARA,Deputy Commissioner Goalpara,2
assam|jorhatdeputycommissionerjorhatida,17,3250000.0,200000.0,166.0,1.0,1.0,0.0,0.0,0.0,23.352941176470587,31,2025-07-21,4,0.38408304498269896,25.65,Low,Assam,JORHAT,DEPUTY COMMISSIONER JORHAT,1
assam|kamrupdeputycommissionerkamrupida,7,3800000.0,500000.0,173.0,1.0,0.2857142857142857,0.0,0.0,0.0,14.571428571428571,31,2026-01-30,5,0.22448979591836732,19.5,Routine,Assam,KAMRUP,DEPUTY COMMISSIONER KAMRUP,1
assam|kamrupmetrodeputycommissionerkamrupmetropolitanida,10,10600000.0,1000000.0,160.0,0.9,1.0,0.0,0.6,0.0,38.4,46,2025-08-20,6,0.20000000000000004,40.68,Medium,Assam,KAMRUP METRO,DEPUTY COMMISSIONER KAMRUP METROPOLITAN,1
assam|karbianglongdeputycommissionerkarbianglongida,34,34182540.0,500000.0,57.0,0.9117647058823529,0.0,0.029411764705882353,0.2647058823529412,0.0,12.088235294117647,31,2025-04-04,11,0.22318339100346024,17.76,Routine,Assam,KARBI ANGLONG,DEPUTY COMMISSIONER KARBI ANGLONG,1
assam|lakhimpurdeputycommissionerlakhimpurida,10,5300000.0,500000.0,136.0,1.0,0.8,0.0,0.0,0.0,18.0,21,2025-02-24,2,0.8200000000000001,18.9,Routine,Assam,LAKHIMPUR,DEPUTY COMMISSIONER LAKHIMPUR,1
assam|marigaondistrictdevelopmentcommissionermorigaon,15,8560000.0,500000.0,135.0,1.0,0.4666666666666667,0.06666666666666667,0.0,0.0,17.666666666666668,31,2025-12-24,8,0.26222222222222225,21.67,Low,Assam,MARIGAON,District Development Commissioner Morigaon,1
assam|nagaondeputycommissionernowgongida,13,4300000.0,200000.0,477.0,1.0,0.38461538461538464,0.07692307692307693,0.0,0.0,21.76923076923077,31,2026-08-26,6,0.2071005917159764,24.54,Low,Assam,NAGAON,DEPUTY COMMISSIONER NOWGONG,1
assam|southsalmaramancachardeputycommissionersouthsalmaramankacharida,2,1000000.0,500000.0,445.5,1.0,0.5,0.0,0.0,0.0,23.5,31,2026-05-21,1,1.0,25.75,Low,Assam,SOUTH SALMARA MANCACHAR,Deputy Commissioner South Salmara Mankachar,1
bihar|arariadistrictplanningofficerarariaida,20,47473127.0,2475000.0,69.5,0.8,0.0,0.0,0.0,0.35,7.0,18,2025-01-31,2,0.9049999999999999,10.3,Routine,Bihar,ARARIA,DISTRICT PLANNING OFFICER ARARIA,1
bihar|aurangabaddistrictplanningofficeraurangabadida,30,8970000.0,299000.0,131.0,1.0,0.0,0.0,0.0,0.0,9.333333333333334,16,2026-07-14,1,1.0,11.33,Routine,Bihar,AURANGABAD,DISTRICT PLANNING OFFICER AURANGABAD,1
bihar|bhagalpurdistrictplanningofficerbhagalpurida,16,20074735.0,918100.0,79.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-06,2,0.5703125,6.0,Routine,Bihar,BHAGALPUR,DISTRICT PLANNING OFFICER BHAGALPUR,1
bihar|buxardistrictplanningofficerbuxarida,8,8227082.0,1442993.5,131.5,1.0,0.0,0.0,0.0,0.125,10.25,16,2025-11-22,6,0.21875,11.98,Routine,Bihar,BUXAR,DISTRICT PLANNING OFFICER BUXAR,1
bihar|darbhangadistrictplanningofficerdarbangaida,5,2475000.0,495000.0,415.0,1.0,0.0,0.8,0.0,0.0,14.0,16,2025-12-25,1,1.0,14.6,Routine,Bihar,DARBHANGA,DISTRICT PLANNING OFFICER DARBANGA,1
bihar|gayadistrictplanningofficergayaida,79,38444422.0,498748.0,148.0,1.0,0.0,0.0,0.0,0.9873417721518988,26.189873417721518,41,2025-04-16,1,1.0,30.63,Low,Bihar,GAYA,DISTRICT PLANNING OFFICER GAYA,1
bihar|gopalganjdistrictplanningofficergopalganjida,19,18942374.0,995000.0,285.0,0.9473684210526315,0.0,0.0,0.0,0.9473684210526315,38.73684210526316,49,2026-05-19,2,0.9002770083102491,41.82,Medium,Bihar,GOPALGANJ,DISTRICT PLANNING OFFICER GOPALGANJ,1
bihar|kaimurbhabuadistrictplanningofficerkaimurbhabuaida,41,32007081.0,791481.0,107.0,0.975609756097561,0.0,0.0,0.024390243902439025,0.07317073170731707,8.317073170731707,31,2025-06-04,10,0.17311124330755506,15.12,Routine,Bihar,KAIMUR,BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA,2
bihar|katihardistrictplanningofficerkatiharida,16,15915840.0,994740.0,323.0,1.0,0.0,0.0,0.0,0.9375,39.4375,41,2026-01-09,1,1.0,39.91,Low,Bihar,KATIHAR,DISTRICT PLANNING OFFICER KATIHAR,1
bihar|khagariadistrictplanningofficerkhagariaida,16,15205140.0,993401.0,143.0,1.0,0.0,0.0,0.0,0.5625,14.625,18,2025-05-21,3,0.4921875,15.64,Routine,Bihar,KHAGARIA,DISTRICT PLANNING OFFICER KHAGARIA,1
bihar|kishanganjdistrictplanningofficerkishanganjida,20,12982000.0,649100.0,89.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-01-05,1,1.0,6.0,Routine,Bihar,KISHANGANJ,DISTRICT PLANNING OFFICER KISHANGANJ,1
bihar|madhubanidistrictplanningofficermadhubaniida,37,38844442.0,1096000.0,180.0,0.7567567567567568,0.0,0.0,0.0,0.0,9.35135135135135,24,2026-04-22,6,0.22132943754565376,13.75,Routine,Bihar,MADHUBANI,DISTRICT PLANNING OFFICER MADHUBANI,2
