source_worksheet_row,mp_source_row_number,mp_state,mp_name,mp_constituency,mp_allocated_limit,mp_name_key,allocation_amount_missing_flag,mp_visible_work_count,mp_visible_sanction_total,mp_median_sanction_amount,mp_median_sanction_delay_days,mp_delay_over45_share,mp_early_stage_over180_share,mp_completed_share,mp_high_cost_outlier_share,mp_duplicate_review_share,mp_average_review_priority_score,mp_max_review_priority_score,mp_latest_sanction_date,mp_distinct_work_type_count,mp_work_type_hhi,mp_review_priority_score,mp_review_priority_band,works_extract_presence_flag,observed_sanction_to_allocated_ratio,mp_calamity_consent_count,mp_calamity_consent_total,mp_latest_calamity_consent_date
3,1,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0,aashtikarpatilnageshbapurao,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
4,2,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11,abdulrashidsheikh,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
5,3,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0,abhaykumarsinha,False,109,47414422.0,473826.0,148.0,1.0,0.0,0.0,0.0,0.7155963302752294,21.55045871559633,41.0,2026-07-14,2.0,0.6010436831916506,27.39,Low,True,0.32254708843537416,0,0.0,
6,4,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0,abhijitgangopadhyay,False,16,6997450.0,340000.0,76.0,0.8125,0.3125,0.1875,0.0,0.0,10.1875,21.0,2025-05-23,6.0,0.421875,13.43,Routine,True,0.047601700680272106,0,0.0,
7,5,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0,abutaherkhan,False,72,11478198.0,140538.0,125.0,1.0,0.013888888888888888,0.0,0.013888888888888888,0.0,6.694444444444445,56.0,2025-07-03,2.0,0.9726080246913582,21.49,Low,True,0.07808297959183673,0,0.0,
8,6,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0,adhikarisoumendu,False,6,9298896.0,1349724.0,185.0,1.0,0.3333333333333333,0.0,1.0,0.0,41.0,56.0,2025-09-18,2.0,0.5555555555555556,45.5,Medium,True,0.06325779591836735,0,0.0,
9,7,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0,adityayadav,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
10,8,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0,advadoorprakash,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
11,9,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0,advdeankuriakose,False,85,28325564.0,215496.0,143.0,1.0,0.023529411764705882,0.0,0.011764705882352941,0.03529411764705882,7.847058823529411,31.0,2025-10-24,6.0,0.7439446366782007,14.79,Routine,True,0.19269091156462584,0,0.0,
12,10,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11,advgowaalkagadapadavi,False,1,1199000.0,1199000.0,367.0,1.0,1.0,0.0,0.0,0.0,31.0,31.0,2025-08-21,1.0,1.0,31.0,Low,True,0.008111418876706926,0,0.0,
13,11,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11,advkfrancisgeorge,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
14,12,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0,afzalansari,False,42,29386910.0,625000.0,161.0,1.0,0.30952380952380953,0.023809523809523808,0.38095238095238093,0.0,25.976190476190474,64.0,2026-08-22,4.0,0.2970521541950113,37.38,Low,True,0.13327396825396826,0,0.0,
15,13,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0,agasyedruhullahmehdi,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
16,14,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0,ajaybhatt,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
17,15,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0,ajaykumarmandal,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
18,16,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0,ajaytamta,False,0,,,,,,,,,,,,,,,,False,,0,0.0,
19,17,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0,ajendrasinghlodhi,False,73,44529000.0,700000.0,239.0,0.9726027397260274,0.7671232876712328,0.1643835616438356,0.0410958904109589,0.0958904109589041,28.602739726027398,43.0,2025-11-27,4.0,0.42690936385813466,32.92,Low,True,0.3029183673469388,0,0.0,
